URL,Categorie,Redenering,Score,Kenmerken
https://www.natuurhuisje.nl/vakantiehuisje/90279,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90261,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90259,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90243,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90236,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90157,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90143,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90114,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90051,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/23935,twijfel_nee,Handmatig gelabeld,55,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/24604,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/25468,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/25823,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/26029,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/26123,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/27940,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/29676,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/29661,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/30489,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/30484,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/30452,twijfel_nee,Handmatig gelabeld,55,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90050,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90023,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89968,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89954,twijfel_nee,Handmatig gelabeld,55,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89926,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89914,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89870,twijfel_nee,Handmatig gelabeld,55,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89851,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89830,twijfel_nee,Handmatig gelabeld,55,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89790,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89776,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89761,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89758,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89750,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89734,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89728,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89723,nee,Handmatig gelabeld,30,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/65732,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/57867,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/68075,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90199,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/84103,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90201,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/73878,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/90339,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/89206,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/54779,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/68046,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/71755,ja,Handmatig gelabeld,85,Te verrijken via details
https://www.natuurhuisje.nl/vakantiehuisje/30842,ja,Handmatig gelabeld,85,Te verrijken via details
